study_accession	sample_accession	experiment_accession	run_accession	scientific_name	library_name	nominal_length	library_source	read_count	study_title	fastq_bytes	fastq_md5	fastq_ftp	sample_alias	Year
PRJEB7866	SAMEA3143267	ERX639090	ERR694110	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	351383192;354840024	89d9a8f98acb93f1c499877a695d974e;7de642fdf3a2b3aefe98f0b41d6fa5a3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694110/ERR694110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694110/ERR694110_2.fastq.gz	FS891_Anemone_DNA	2013
PRJEB7866	SAMEA3143267	ERX639091	ERR694111	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	351056928;357128637	6b4c317b4e6f83c7dc6c87345aa343fc;e490709f39247b82438635b6fe0e9642	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694111/ERR694111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694111/ERR694111_2.fastq.gz	FS891_Anemone_DNA	2013
PRJEB7866	SAMEA3143267	ERX639092	ERR694112	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	350362583;356700610	0bdd3cfe0abc6b145ed6e8d19305e327;beb1be6dc2272ea52abe7c76c6b942a5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694112/ERR694112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694112/ERR694112_2.fastq.gz	FS891_Anemone_DNA	2013
PRJEB7866	SAMEA3143267	ERX639093	ERR694113	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	344807262;350546090	7ae31365cb43b371c168bf9b8c0d6433;bfa9cd3537d96f9b7e3130a671126c00	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694113/ERR694113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694113/ERR694113_2.fastq.gz	FS891_Anemone_DNA	2013
PRJEB7866	SAMEA3143267	ERX639094	ERR694114	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	345995782;351214626	cc5cca8414c8e9353aa0ae38f9b06b3c;c35b5599f6af58455910ef7598b4ccc6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694114/ERR694114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694114/ERR694114_2.fastq.gz	FS891_Anemone_DNA	2013
PRJEB7866	SAMEA3143267	ERX639095	ERR694115	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	350680705;357178495	0302bd73850529935d261002aaa3b8ec;1f64bf9b3d4f99aeb35c3d428904e468	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694115/ERR694115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694115/ERR694115_2.fastq.gz	FS891_Anemone_DNA	2013
PRJEB7866	SAMEA3143267	ERX639096	ERR694116	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	344719720;351675122	bec08531c5218c25d9f4184704cb4852;0a4b26c6e93012c0f6cb520c80faa280	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694116/ERR694116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694116/ERR694116_2.fastq.gz	FS891_Anemone_DNA	2013
PRJEB7866	SAMEA3143267	ERX639097	ERR694117	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	341681048;346479503	aa4b7e7621ca275ec7661190d70b4027;7e9d439ed2a47ae2735e2f1e128a0ffa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694117/ERR694117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694117/ERR694117_2.fastq.gz	FS891_Anemone_DNA	2013
PRJEB7866	SAMEA3143267	ERX639098	ERR694118	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	1915109	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	173424545;176361864	284463ab0f7e4b43149340f084642e81;e86143fc1bf723e68ab66f0c0848a0d5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694118/ERR694118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694118/ERR694118_2.fastq.gz	FS891_Anemone_DNA	2013
PRJEB7866	SAMEA3143267	ERX639099	ERR694119	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	352348700;353366730	b58b4e421dce5fac7d59a69f6b6fbb18;37b210a0b3b5fe1f5af45402dc5deed7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694119/ERR694119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694119/ERR694119_2.fastq.gz	FS891_Anemone_DNA	2013
PRJEB7866	SAMEA3143267	ERX639100	ERR694120	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	354590127;355955962	786046090aa26381b547f8ef6604596c;83a08545227de15053bcb43d05a3ba4c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694120/ERR694120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694120/ERR694120_2.fastq.gz	FS891_Anemone_DNA	2013
PRJEB7866	SAMEA3143267	ERX639101	ERR694121	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	360148503;360824797	e7c58554d140a85a4a1fdf02dab4d765;2b48a71c802037aa149ddfe4879fe335	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694121/ERR694121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694121/ERR694121_2.fastq.gz	FS891_Anemone_DNA	2013
PRJEB7866	SAMEA3143267	ERX639102	ERR694122	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	361104261;362304739	1b3374249559b5c0d94f9c2681eca60a;6b5f8c1264304c0c336fd7eda743df9c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694122/ERR694122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694122/ERR694122_2.fastq.gz	FS891_Anemone_DNA	2013
PRJEB7866	SAMEA3143267	ERX639103	ERR694123	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	355554487;357228376	4a0c4d3524c1d9e16f80e48a6183e6cb;7c25ae7797644dfe10fbd7a8830d0689	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694123/ERR694123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694123/ERR694123_2.fastq.gz	FS891_Anemone_DNA	2013
PRJEB7866	SAMEA3143267	ERX639104	ERR694124	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	346252367;348603057	54a02f68158514b68d38c28763f156e4;a8884084fea7aa08c22ffbfeca680cdf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694124/ERR694124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694124/ERR694124_2.fastq.gz	FS891_Anemone_DNA	2013
PRJEB7866	SAMEA3143267	ERX639105	ERR694125	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	351939940;353567633	ec3e791e40df630ed145859730fff9f3;34176c28bb65ac6ec0913e79088270ad	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694125/ERR694125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694125/ERR694125_2.fastq.gz	FS891_Anemone_DNA	2013
PRJEB7866	SAMEA3143267	ERX639106	ERR694126	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	2015498	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	185004744;185043595	fbe93df196ecb0ed15f01f0a0de20b42;5d60ab37ec0a0d2364e867558f300086	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694126/ERR694126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694126/ERR694126_2.fastq.gz	FS891_Anemone_DNA	2013
PRJEB7866	SAMEA3143269	ERX639107	ERR694127	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	349556438;352670265	6bdb0547ba89c9078268bf0154211c71;905d7ae765ae60b846ad86dab56850e7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694127/ERR694127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694127/ERR694127_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639108	ERR694128	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	365294400;369867134	b194df2657b136ed40e25863fffaf90f;511cc7b3dfda268432ff3060db06d4af	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694128/ERR694128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694128/ERR694128_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639109	ERR694129	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	346407118;352966811	260a27c27f9a7dc15b4716751f96328d;52a2b37059c0526ff665ee3af0070df1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694129/ERR694129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694129/ERR694129_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639110	ERR694130	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	351227286;358370699	59ee9029aa583102b3015b29a74348d8;d515fe88099dff3d18fd8b9eec4e6d3c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694130/ERR694130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694130/ERR694130_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639111	ERR694131	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	347092291;352866966	8c4d3b76577a950230839bf5be3b48ac;45c96d2f9a04a7a4d8272db8c0788f29	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694131/ERR694131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694131/ERR694131_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639112	ERR694132	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	347698994;353629731	c20fcd5fa5a23af95a4b5ba5dbfae718;7fc0b33fcdd600eb02cd35ef7ab4423d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694132/ERR694132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694132/ERR694132_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639113	ERR694133	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	351814107;358231037	90b37ffcf6dc9329af76ac13252b43cc;c73fe7818e60798c762b5455ff4c1247	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694133/ERR694133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694133/ERR694133_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639114	ERR694134	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	348813312;353721281	e7678d2d172615629f4d63277cb1a536;7c3a7a37749b9acfc7de2e9c0dd6e506	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694134/ERR694134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694134/ERR694134_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639115	ERR694135	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	357903324;365312387	7766e69d10c5e152903067a83223cdb7;f513e3ed658dbbaf1644379acd2c891a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694135/ERR694135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694135/ERR694135_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639116	ERR694136	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	336648358;343644405	2d1d213e1247b8d1191ad10af97e5bd2;78b17f36164dad44b8d8da75c06236f8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694136/ERR694136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694136/ERR694136_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639117	ERR694137	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	354444999;362051200	f8f31b37fe550ecf3e4d657bd6de32e1;e53226f6d984e5e44ae68daa21b0a027	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694137/ERR694137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694137/ERR694137_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639118	ERR694138	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	339303994;344173461	b24c91e2442d422a5a2d27cad37fee38;a7e7e29bb3734df2a2bb4bf815f6d3f7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694138/ERR694138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694138/ERR694138_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639119	ERR694139	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	356164600;362761352	db60b8102580d60fc8a6e44b8158a3b2;5514dc4bd21567e70caead45d5eb809f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694139/ERR694139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694139/ERR694139_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639120	ERR694140	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	678449	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	63206199;64133199	116ab847d9830f5ae600b7a10a91df7c;e3604612ac44a6ccac8e5e60a8bbe030	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694140/ERR694140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694140/ERR694140_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639121	ERR694141	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	348190214;351225185	af147fb8d80ca90b8bd41e59bda03593;a0c638d9610137041407b4aab79b7ef7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694141/ERR694141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694141/ERR694141_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639122	ERR694142	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	367110099;366783971	87fae8295a897d949df40bccf8044af5;3d3d5a713a8586e328f5f7df315e166b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694142/ERR694142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694142/ERR694142_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639123	ERR694143	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	350456084;353832750	1efe2bdf86236c63521bc7f4e0aca86f;33f7f3517841e0cfa7d412f14e5f9beb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694143/ERR694143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694143/ERR694143_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639124	ERR694144	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	368574356;368471826	e82aa825ad453897e33825182ad4c586;98ead53535211e36f82fd2a5a30834c9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694144/ERR694144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694144/ERR694144_2.fastq.gz	FS896_ElGuapo_DNA	2013
PRJEB7866	SAMEA3143269	ERX639125	ERR694145	metagenome	FS896_ElGuapo_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	355553060;358577986	dd46e84a1a9edbca56c194f855910822;54daa375003d3df38a9c74fb1d56570f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694145/ERR694145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694145/ERR694145_2.fastq.gz	FS896_ElGuapo_DNA	2013
