Assembly_group	ERR_count	FS_list	ERR_list
Anemone-2013	17	FS891	ERR694110, ERR694111, ERR694112, ERR694113, ERR694114, ERR694115, ERR694116, ERR694117, ERR694118, ERR694119, ERR694120, ERR694121, ERR694122, ERR694123, ERR694124, ERR694125, ERR694126
Anemone-2014	13	FS907	ERR1163105, ERR1163106, ERR1163107, ERR1163108, ERR1163109, ERR1163110, ERR1163111, ERR1163112, ERR1163113, ERR1163114, ERR1163115, ERR1163116, ERR1163117
Anemone-2015	1	FS914	ERR2021505
AnemonePlume-2015	1	AnemonePlume	ERR2021511
Background1500m-2015	1	Background	ERR2021513
CTD1200m-2014	9	CTD1200	ERR1163068, ERR1163069, ERR1163070, ERR1163071, ERR1163072, ERR1163073, ERR1163074, ERR1163075, ERR1163076
Dependable-2013	23	FS900	ERR694176, ERR694177, ERR694178, ERR694179, ERR694180, ERR694181, ERR694182, ERR694183, ERR694184, ERR694185, ERR694186, ERR694187, ERR694188, ERR694189, ERR694190, ERR694191, ERR694192, ERR694193, ERR694194, ERR694195, ERR694196, ERR694197, ERR694198
ElGuapo-2013	26	FS896	ERR694127, ERR694128, ERR694129, ERR694130, ERR694131, ERR694132, ERR694133, ERR694134, ERR694135, ERR694136, ERR694137, ERR694138, ERR694139, ERR694140, ERR694141, ERR694142, ERR694143, ERR694144, ERR694145, ERR694146, ERR694147, ERR694148, ERR694149, ERR694150, ERR694151, ERR694152
Marker113-2013	7	FS904	ERR694207, ERR694208, ERR694209, ERR694210, ERR694211, ERR694212, ERR694213
Marker113-2014	11	FS906	ERR1163082, ERR1163083, ERR1163084, ERR1163085, ERR1163086, ERR1163087, ERR1163089, ERR1163090, ERR1163091, ERR1163092, ERR1163094
Marker113-2015	1	FS915	ERR2021507
Marker33-2013	8	FS904	ERR694199, ERR694200, ERR694201, ERR694202, ERR694203, ERR694204, ERR694205, ERR694206
Marker33-2014	11	FS908	ERR1163125, ERR1163126, ERR1163127, ERR1163128, ERR1163129, ERR1163130, ERR1163131, ERR1163132, ERR1163133, ERR1163134, ERR1163135
Marker33-2015	1	FS917	ERR2021503
N3Area-2013	23	FS898	ERR694153, ERR694154, ERR694155, ERR694156, ERR694157, ERR694158, ERR694159, ERR694160, ERR694161, ERR694162, ERR694163, ERR694164, ERR694165, ERR694166, ERR694167, ERR694168, ERR694169, ERR694170, ERR694171, ERR694172, ERR694173, ERR694174, ERR694175
NorthRiftZone-2015	1	FS918	ERR2021509
