study_accession	sample_accession	experiment_accession	run_accession	scientific_name	library_name	nominal_length	library_source	read_count	study_title	fastq_bytes	fastq_md5	fastq_ftp	sample_alias	Year
PRJEB7866	SAMEA3143268	ERX639273	ERR694356	metagenome	FS891_Anemone_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	332332160;338340589	57cadcb6587a98c5bdd4929fd6e9ae30;fda77c24df70c125f3c816db382255a2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694356/ERR694356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694356/ERR694356_2.fastq.gz	FS891_Anemone_RNA	2013
PRJEB7866	SAMEA3143268	ERX639274	ERR694357	metagenome	FS891_Anemone_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	329897963;336372572	b6af9c4a92163c579a9a97b9d298e88e;aaae6ad48be367a5a93145d613e4c20b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694357/ERR694357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694357/ERR694357_2.fastq.gz	FS891_Anemone_RNA	2013
PRJEB7866	SAMEA3143268	ERX639275	ERR694358	metagenome	FS891_Anemone_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	329496244;337601673	9f998da112d089eaa6ba6464708c9095;09ed3803429caf25e7d46a83811d9ecf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694358/ERR694358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694358/ERR694358_2.fastq.gz	FS891_Anemone_RNA	2013
PRJEB7866	SAMEA3143268	ERX639276	ERR694359	metagenome	FS891_Anemone_RNA	292	METATRANSCRIPTOMIC	2719801	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	224315940;229710554	b14629d1bc65b9859ce3974550aa32e6;0d41160944b72e918463ad67a1feb9b1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694359/ERR694359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694359/ERR694359_2.fastq.gz	FS891_Anemone_RNA	2013
PRJEB7866	SAMEA3143270	ERX639277	ERR694360	metagenome	FS896_ElGuapo_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	342535485;348855224	a5dded17b8e874fefb9499e80ad32df1;6c9542158020b023cc5791f349d28898	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694360/ERR694360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694360/ERR694360_2.fastq.gz	FS896_ElGuapo_RNA	2013
PRJEB7866	SAMEA3143270	ERX639278	ERR694361	metagenome	FS896_ElGuapo_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	335930947;343807509	533bbe3b94fefbeeb762fe18a666304e;483dd5ecf9d1f81b5e305ab78f2c3266	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694361/ERR694361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694361/ERR694361_2.fastq.gz	FS896_ElGuapo_RNA	2013
PRJEB7866	SAMEA3143270	ERX639279	ERR694362	metagenome	FS896_ElGuapo_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	332082018;339371762	35c8d5abd816f2f5851f8440ab128668;47f4acf588d1b3176e9587959857a4bc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694362/ERR694362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694362/ERR694362_2.fastq.gz	FS896_ElGuapo_RNA	2013
PRJEB7866	SAMEA3143270	ERX639280	ERR694363	metagenome	FS896_ElGuapo_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	336557495;344857322	886154a1696d98c3f1da6bd8d88fa409;5bb19ce3a11a4f686ebc6ed51f30fc86	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694363/ERR694363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694363/ERR694363_2.fastq.gz	FS896_ElGuapo_RNA	2013
PRJEB7866	SAMEA3143270	ERX639281	ERR694364	metagenome	FS896_ElGuapo_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	329410063;339079777	f930dfff745debb25b1d7e9682341a00;6df7862fa3a54f04d3b3acd6f409e47b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694364/ERR694364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694364/ERR694364_2.fastq.gz	FS896_ElGuapo_RNA	2013
PRJEB7866	SAMEA3143270	ERX639282	ERR694365	metagenome	FS896_ElGuapo_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	331961950;340969820	3fc93d3633731db3f0065f7dd9ded07f;34297111a5909dfe72da3387158a0b54	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694365/ERR694365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694365/ERR694365_2.fastq.gz	FS896_ElGuapo_RNA	2013
