Assembly_group	ERR_count	FS_list	ERR_list
Anemone-2013	4	FS891	ERR694356, ERR694357, ERR694358, ERR694359
Anemone-2014	8	FS907	ERR1163118, ERR1163119, ERR1163120, ERR1163121, ERR1163122, ERR1163123, ERR1163124, ERR2021515
Anemone-2015	1	FS914	ERR2021506
AnemonePlume-2015	1	AnemonePlume	ERR2021512
Background1500m-2015	1	Background	ERR2021514
CTD1200m-2014	5	CTD1200	ERR1163077, ERR1163078, ERR1163079, ERR1163080, ERR1163081
Dependable-2013	4	FS900	ERR694373, ERR694374, ERR694375, ERR694376
ElGuapo-2013	7	FS896	ERR694360, ERR694361, ERR694362, ERR694363, ERR694364, ERR694365, ERR694366
Marker113-2013	9	FS903	ERR694383, ERR694384, ERR694385, ERR694386, ERR694387, ERR694388, ERR694389, ERR694390, ERR694391
Marker113-2014	10	FS906	ERR1163095, ERR1163096, ERR1163097, ERR1163098, ERR1163099, ERR1163100, ERR1163101, ERR1163102, ERR1163103, ERR1163104
Marker113-2015	1	FS915	ERR2021508
Marker33-2013	6	FS904	ERR694377, ERR694378, ERR694379, ERR694380, ERR694381, ERR694382
Marker33-2014	8	FS908	ERR1163136, ERR1163137, ERR1163138, ERR1163139, ERR1163140, ERR1163141, ERR1163142, ERR1163143
Marker33-2015	1	FS917	ERR2021504
N3Area-2013	6	FS898	ERR694367, ERR694368, ERR694369, ERR694370, ERR694371, ERR694372
NorthRiftZone-2015	1	FS918	ERR2021510
